utterance_id	original_text	normalized_text
001_001_000002_000001	沒有啦 現在是在說什麼 男子漢大丈夫言出必行 既然我答應了 我就不可能反悔 是啦 勝強哥 現在你是我們的結拜大哥 既然講好要聽你的	沒有啦 現在是在說什麼 男子漢大丈夫言出必行 既然我答應了 我就不可能反悔 是啦 勝強哥 現在你是我們的結拜大哥 既然講好要聽你的
001_001_000003_000001	從現在開始 我跟進輝的命就交給你了 我相信你絕對 不會讓我們失望	從現在開始 我跟進輝的命就交給你了 我相信你絕對 不會讓我們失望
001_001_000006_000001	好帥 遺傳爸爸 沒錯	好帥 遺傳爸爸 沒錯
001_001_000008_000001	不會啦 不會有什麼萬一 碧玉你要知道 我們結婚只有登記 又沒有辦婚禮 現在子維都出生了 我卻沒辦法讓你們母子倆 過幸福的生活	不會啦 不會有什麼萬一 碧玉你要知道 我們結婚只有登記 又沒有辦婚禮 現在子維都出生了 我卻沒辦法讓你們母子倆 過幸福的生活
001_001_000009_000001	我是一個男人 說實話 我覺得自己很沒用	我是一個男人 說實話 我覺得自己很沒用
001_001_000011_000001	來 子維 來 爸爸跟媽媽說話 你快睡 快點 來 睡 一眠大一吋 乖	來 子維 來 爸爸跟媽媽說話 你快睡 快點 來 睡 一眠大一吋 乖
001_001_000012_000001	我當然知道你不會 不過我會 我會埋怨我自己 埋怨我怎麼會這麼沒用 我為什麼沒有盡到 一個男人的責任 既然現在有這麼好的 賺錢機會 我當然要好好把握	我當然知道你不會 不過我會 我會埋怨我自己 埋怨我怎麼會這麼沒用 我為什麼沒有盡到 一個男人的責任 既然現在有這麼好的 賺錢機會 我當然要好好把握
001_001_000014_000001	你相信我嗎	你相信我嗎
001_001_000015_000001	既然你相信我 那我希望你能永遠記得 不管我人在哪裡 我的這裡 這裡永遠都有 你們母子倆的位置	既然你相信我 那我希望你能永遠記得 不管我人在哪裡 我的這裡 這裡永遠都有 你們母子倆的位置
001_001_000016_000001	都是希望能夠盡到一個 為人丈夫和父親的責任 我希望能讓你們母子倆 為我感到光榮與驕傲	都是希望能夠盡到一個 為人丈夫和父親的責任 我希望能讓你們母子倆 為我感到光榮與驕傲
001_001_000018_000001	我不是跟你說過了 這次我是跟我結拜兄弟 一起出門 他們是我最信任的人 大家互相扶持 互相照顧 絕對不會有問題	我不是跟你說過了 這次我是跟我結拜兄弟 一起出門 他們是我最信任的人 大家互相扶持 互相照顧 絕對不會有問題
001_001_000019_000001	好啦 乖 不要哭 你就乖乖等我回來好不好	好啦 乖 不要哭 你就乖乖等我回來好不好
001_001_000021_000001	剩這些 來 你先喝	剩這些 來 你先喝
001_001_000023_000001	你說這個 之前跟人打架留下來的紀念 真看不出來 人這麼斯文 你也有抓狂的時候	你說這個 之前跟人打架留下來的紀念 真看不出來 人這麼斯文 你也有抓狂的時候
001_001_000025_000001	難怪我們會結拜當兄弟 我的個性也是這樣 對了 兩位哥哥 我們先別說這個 我請教一下 我們這次如果賺到錢 你們有什麼願望 你們要做什麼	難怪我們會結拜當兄弟 我的個性也是這樣 對了 兩位哥哥 我們先別說這個 我請教一下 我們這次如果賺到錢 你們有什麼願望 你們要做什麼
001_001_000026_000001	去我那個無緣的他家對面 蓋一棟豪宅 然後裝潢得很奢華 閃到讓他們眼睛都睜不開 看他們是不是還敢看不起我 你這個人就是有仇必報	去我那個無緣的他家對面 蓋一棟豪宅 然後裝潢得很奢華 閃到讓他們眼睛都睜不開 看他們是不是還敢看不起我 你這個人就是有仇必報
001_001_000028_000001	對了 那你們兩個呢 如果賺到錢之後 你們兩個第一個願望是什麼	對了 那你們兩個呢 如果賺到錢之後 你們兩個第一個願望是什麼
001_001_000030_000001	我的願望 我想要辦一場 很盛大的婚禮 辦婚禮 你也拜託一下 你不是跟你太太 都已經生孩子了	我的願望 我想要辦一場 很盛大的婚禮 辦婚禮 你也拜託一下 你不是跟你太太 都已經生孩子了
001_001_000031_000001	我才想要補辦婚禮 我太太嫁給我 我們只有去登記 他也沒穿上新娘禮服 所以我想要辦一個 很盛大的婚禮 這樣他這輩子才不會有遺憾	我才想要補辦婚禮 我太太嫁給我 我們只有去登記 他也沒穿上新娘禮服 所以我想要辦一個 很盛大的婚禮 這樣他這輩子才不會有遺憾
001_001_000032_000001	這樣看起來 你太太應該長得很漂亮 你才會這麼疼惜他 保護到把他藏起來 不讓我們看	這樣看起來 你太太應該長得很漂亮 你才會這麼疼惜他 保護到把他藏起來 不讓我們看
001_001_000034_000001	對 來 先給你們看一下 我跟你們說 這次我們要出門前 我還帶他去拍全家福	對 來 先給你們看一下 我跟你們說 這次我們要出門前 我還帶他去拍全家福
001_001_000036_000001	我想到我們當兵那時候 我們才剛認識 互相看不順眼 想不到現在 我們三個竟然會結拜 一起做生意 打拚賺錢 逼不得已	我想到我們當兵那時候 我們才剛認識 互相看不順眼 想不到現在 我們三個竟然會結拜 一起做生意 打拚賺錢 逼不得已
