utterance_id	original_text	normalized_text
014_001_000133_000001	你去想辦法 你如果能讓他媽換到心臟 我就叫我爸 多贊助幾台醫療儀器	你去想辦法 你如果能讓他媽換到心臟 我就叫我爸 多贊助幾台醫療儀器
014_001_000198_000001	你們只要記住一件事	你們只要記住一件事
014_001_000199_000001	吐氣 把你們的心情調整好 等一下見招拆招	吐氣 把你們的心情調整好 等一下見招拆招
014_001_000251_000001	媽 你放心 我又不是第一次加班 而且我還有三個好姊妹陪我 應該快要大功告成了	媽 你放心 我又不是第一次加班 而且我還有三個好姊妹陪我 應該快要大功告成了
014_001_000271_000001	你是我的好姊妹 而且你很快就是我的大嫂了 所以現在真的時間不早了 你趕快回去 不然陳子維 可能會跑來公司跟我算帳 他才不敢 這很難說	你是我的好姊妹 而且你很快就是我的大嫂了 所以現在真的時間不早了 你趕快回去 不然陳子維 可能會跑來公司跟我算帳 他才不敢 這很難說
014_001_000272_000001	他是戀愛腦你忘了嗎 所以放下你的工作 交給我 趕快回去 真的不用我留下來嗎	他是戀愛腦你忘了嗎 所以放下你的工作 交給我 趕快回去 真的不用我留下來嗎
014_001_000274_000001	是不是很貼心	是不是很貼心
014_001_000309_000001	只要我再努力一點 就離美麗家園更近了 陳曉春 你一定能完成買房子的願望	只要我再努力一點 就離美麗家園更近了 陳曉春 你一定能完成買房子的願望
014_001_000318_000001	他不只善良慈悲 還很有氣質 我能當你的媳婦 真的是我的福氣	他不只善良慈悲 還很有氣質 我能當你的媳婦 真的是我的福氣
014_001_000341_000001	我有幫你準備一整套的 你待會換起來 上台領獎的時候 也跟我的造型比較搭	我有幫你準備一整套的 你待會換起來 上台領獎的時候 也跟我的造型比較搭
014_001_000342_000001	你看 是不是更有氣質	你看 是不是更有氣質
014_001_000359_000001	來 你就坐好 我來幫你洗腳 媽 你的腳	來 你就坐好 我來幫你洗腳 媽 你的腳
014_001_000364_000001	水太燙忍耐一下就好了 真的很嬌貴 難怪你叫滿嬌	水太燙忍耐一下就好了 真的很嬌貴 難怪你叫滿嬌
014_001_000431_000001	麗紅	麗紅
