utterance_id	original_text	normalized_text
016_001_000151_000001	不只是捷運共構宅 還是我們勝發集團 第一批的綠建築 雖然還沒公開販售 不過在業界已經造成轟動 大家都在討論	不只是捷運共構宅 還是我們勝發集團 第一批的綠建築 雖然還沒公開販售 不過在業界已經造成轟動 大家都在討論
016_001_000154_000001	是啊 美麗家園周圍 生活機能完善 現在很多建商想要進來 不過現在已經沒有土地了 因為土地 都被我們勝發集團買走了 美麗家園如果完工 這裡就是我們的城堡	是啊 美麗家園周圍 生活機能完善 現在很多建商想要進來 不過現在已經沒有土地了 因為土地 都被我們勝發集團買走了 美麗家園如果完工 這裡就是我們的城堡
016_001_000159_000001	是 謝謝董事長 有你的支持跟鼓勵 我現在全身都充滿能量 我絕對不會讓你丟臉 謝謝爸	是 謝謝董事長 有你的支持跟鼓勵 我現在全身都充滿能量 我絕對不會讓你丟臉 謝謝爸
016_001_000165_000001	我根本就不認識你	我根本就不認識你
016_001_000172_000001	爸 你不是要我處理 明天標案的事情	爸 你不是要我處理 明天標案的事情
016_001_000180_000001	你口口聲聲叫我渣男 請問一下 我有對你怎麼樣嗎	你口口聲聲叫我渣男 請問一下 我有對你怎麼樣嗎
016_001_000184_000001	不用說了 一定是我那個千金姊姊 耍的花樣	不用說了 一定是我那個千金姊姊 耍的花樣
016_001_000186_000001	有比我們姊弟的感情 還重要嗎	有比我們姊弟的感情 還重要嗎
016_001_000312_000001	對啊 爸 今天是模範婆媳表揚大會 你最愛的兩個女人 阿嬤跟媽都是主角	對啊 爸 今天是模範婆媳表揚大會 你最愛的兩個女人 阿嬤跟媽都是主角
016_001_000313_000001	這位資深美女就交給我 那位仙女姊姊就交給你了	這位資深美女就交給我 那位仙女姊姊就交給你了
016_001_000324_000001	這看起來好好吃 好精緻 那個太甜了 不要	這看起來好好吃 好精緻 那個太甜了 不要
016_001_000327_000001	其實姊昨晚 整晚都沒回來 我打電話給他 他也沒接 我就不知道 他到底在忙著談戀愛 還是在忙什麼 不是我愛告狀	其實姊昨晚 整晚都沒回來 我打電話給他 他也沒接 我就不知道 他到底在忙著談戀愛 還是在忙什麼 不是我愛告狀
016_001_000328_000001	但姊最近真的玩很大 再怎麼說 他也是一個 還沒出嫁的千金大小姐 我是怕他被人說閒話	但姊最近真的玩很大 再怎麼說 他也是一個 還沒出嫁的千金大小姐 我是怕他被人說閒話
016_001_000354_000001	我來啦 在我們家裡 阿嬤最疼愛的人就是我了 幫阿嬤洗腳的人 應該也是我才對 我來啦	我來啦 在我們家裡 阿嬤最疼愛的人就是我了 幫阿嬤洗腳的人 應該也是我才對 我來啦
016_001_000357_000001	也是啦 抱歉 媽 讓你表現	也是啦 抱歉 媽 讓你表現
016_001_000371_000001	公司的會議快開始了 我們要先離開了 好 麗紅	公司的會議快開始了 我們要先離開了 好 麗紅
016_001_000383_000001	美麗家園未來公開銷售 我們至少能賺到 三百億的總銷售額 扣掉必要的開銷 我們至少能獲利百億	美麗家園未來公開銷售 我們至少能賺到 三百億的總銷售額 扣掉必要的開銷 我們至少能獲利百億
016_001_000419_000001	不知道 金特助好像也不知道 這就奇怪了 到底是什麼事情 他怎麼那麼著急	不知道 金特助好像也不知道 這就奇怪了 到底是什麼事情 他怎麼那麼著急
