utterance_id	original_text	normalized_text
013_001_000129_000001	那位是周先生 他媽媽錯過換心臟的機會	那位是周先生 他媽媽錯過換心臟的機會
013_001_000131_000001	我拜託你 你先起來 我拜託你救我媽 我拜託你	我拜託你 你先起來 我拜託你救我媽 我拜託你
013_001_000219_000001	你不要這樣 提著大包小包爬樓梯 萬一跌倒怎麼辦	你不要這樣 提著大包小包爬樓梯 萬一跌倒怎麼辦
013_001_000221_000001	不然你以為你生這個兒子 是裝飾品嗎	不然你以為你生這個兒子 是裝飾品嗎
013_001_000223_000001	你慢慢爬樓梯	你慢慢爬樓梯
013_001_000224_000001	來 先坐下來休息一下 好 喝水	來 先坐下來休息一下 好 喝水
013_001_000228_000001	媽 你就是這麼節省 人家不要的東西你也撿回來	媽 你就是這麼節省 人家不要的東西你也撿回來
013_001_000230_000001	我們現在住的是頂樓公寓	我們現在住的是頂樓公寓
013_001_000231_000001	你每天這樣提東西太吃力了 乾脆我們去換一間 一樓的房子 這樣你提東西 就不用這麼辛苦了	你每天這樣提東西太吃力了 乾脆我們去換一間 一樓的房子 這樣你提東西 就不用這麼辛苦了
013_001_000233_000001	頂樓加蓋被你講成樓中樓 媽 你真的很樂觀	頂樓加蓋被你講成樓中樓 媽 你真的很樂觀
013_001_000236_000001	有電梯的大樓每一間都很貴 我們買得起嗎	有電梯的大樓每一間都很貴 我們買得起嗎
013_001_000238_000001	是 有夢最美 那我也順便 把我這個月的薪水 上繳國庫 幫助你早日完成美夢	是 有夢最美 那我也順便 把我這個月的薪水 上繳國庫 幫助你早日完成美夢
013_001_000241_000001	我住家裡 吃家裡 哪需要花什麼錢 你儘管拿去	我住家裡 吃家裡 哪需要花什麼錢 你儘管拿去
013_001_000243_000001	你都把錢拿去定存 美麗家園的錢要從哪裡來	你都把錢拿去定存 美麗家園的錢要從哪裡來
013_001_000245_000001	江碧玉小姐就是資深看護 你先在這裡休息 我先上樓了	江碧玉小姐就是資深看護 你先在這裡休息 我先上樓了
013_001_000247_000001	不用啦 鞋子才破一個洞而已 還可以穿 順便通風	不用啦 鞋子才破一個洞而已 還可以穿 順便通風
013_001_000289_000001	欺負一個女孩子 你們膽子很大嘛	欺負一個女孩子 你們膽子很大嘛
013_001_000295_000001	我沒事 反倒是你 你有哪裡受傷嗎	我沒事 反倒是你 你有哪裡受傷嗎
013_001_000296_000001	明天我再替你買一雙 新的鞋子	明天我再替你買一雙 新的鞋子
013_001_000298_000001	女朋友的鞋子壞掉 男朋友幫他買一雙新的 這哪算是亂花錢	女朋友的鞋子壞掉 男朋友幫他買一雙新的 這哪算是亂花錢
013_001_000300_000001	對了 你如果缺錢就跟我說 我再回去跟我媽說	對了 你如果缺錢就跟我說 我再回去跟我媽說
013_001_000302_000001	你這樣說是把我們當外人嗎	你這樣說是把我們當外人嗎
013_001_000305_000001	你又來了 你是我的女朋友 也是我攜手過一生的伴侶 我的親人就是你的親人 我們都是一家人	你又來了 你是我的女朋友 也是我攜手過一生的伴侶 我的親人就是你的親人 我們都是一家人
013_001_000307_000001	一定可以的 而且你已經被我綁住 綁一輩子了 跑不掉了	一定可以的 而且你已經被我綁住 綁一輩子了 跑不掉了
013_001_000308_000001	走 我帶你去吃你愛吃的麵	走 我帶你去吃你愛吃的麵
