utterance_id	original_text	normalized_text
018_001_000161_000001	董事長臨時要開會 除了關心新的建案 是不是還有其他的事要吩咐	董事長臨時要開會 除了關心新的建案 是不是還有其他的事要吩咐
018_001_000176_000001	安迪最近比較安分 很少出去玩 想不到還會發生這種事情 難怪俗話說 江山易改 本性難移 董事長	安迪最近比較安分 很少出去玩 想不到還會發生這種事情 難怪俗話說 江山易改 本性難移 董事長
018_001_000177_000001	還是交給我來處理 我向你保證 這個標案絕對是我們勝發的	還是交給我來處理 我向你保證 這個標案絕對是我們勝發的
018_001_000191_000001	副總英明 這次如果投標成功 總經理的位置 一定是副總你的	副總英明 這次如果投標成功 總經理的位置 一定是副總你的
018_001_000196_000001	我真的想不通 有什麼事不能在上班時間說 沒辦法 誰叫他是千金大小姐 我們只是他聘的小員工 形勢比人強 只好忍耐了	我真的想不通 有什麼事不能在上班時間說 沒辦法 誰叫他是千金大小姐 我們只是他聘的小員工 形勢比人強 只好忍耐了
018_001_000203_000001	為什麼我會叫你們過來 我相信副總 一定有很重要的事情	為什麼我會叫你們過來 我相信副總 一定有很重要的事情
018_001_000205_000001	難怪這麼年輕 就能做到經理的位置 說起來是我的能力太強 董事長才會這麼信任我 指定我做企業總部 土地標案的負責人	難怪這麼年輕 就能做到經理的位置 說起來是我的能力太強 董事長才會這麼信任我 指定我做企業總部 土地標案的負責人
018_001_000206_000001	企業總部土地標案 為什麼我們財務部 完全沒聽過 我們企劃部也不知道這件事 業務部也沒得到消息 我們開發部也沒接到通知 停 我知道你們不知道 所以我不會怪你們 其實這件事情	企業總部土地標案 為什麼我們財務部 完全沒聽過 我們企劃部也不知道這件事 業務部也沒得到消息 我們開發部也沒接到通知 停 我知道你們不知道 所以我不會怪你們 其實這件事情
018_001_000208_000001	資料就在你們面前 你們可以先看看 簡單來說	資料就在你們面前 你們可以先看看 簡單來說
018_001_000209_000001	而且他還指定 要當公司未來的總部 所以這個標案 我們勝發集團勢在必得 等一下	而且他還指定 要當公司未來的總部 所以這個標案 我們勝發集團勢在必得 等一下
018_001_000211_000001	剩下不到二十四小時 就要我們拿到這個標案 這塊土地有五千坪 還在精華地段 競標的單位一定很多 所以呢	剩下不到二十四小時 就要我們拿到這個標案 這塊土地有五千坪 還在精華地段 競標的單位一定很多 所以呢
018_001_000215_000001	自然就不用準備錢了 如果連投標資格都拿不到 你們四葉草 就準備被我 一片一片摘下來	自然就不用準備錢了 如果連投標資格都拿不到 你們四葉草 就準備被我 一片一片摘下來
018_001_000254_000001	就是說啊 辛苦是我們在辛苦 功勞都是他的 真的好不公平 要怪就怪我們出生的時候 沒帶眼睛	就是說啊 辛苦是我們在辛苦 功勞都是他的 真的好不公平 要怪就怪我們出生的時候 沒帶眼睛
018_001_000255_000001	要找一個富爸爸投胎	要找一個富爸爸投胎
