utterance_id	original_text	normalized_text
023_001_000214_000001	就會直接取消競標的資格	就會直接取消競標的資格
023_001_000267_000001	快點 辛苦了 拜拜	快點 辛苦了 拜拜
023_001_000335_000001	你起床了嗎 你的神仙教母 把你的衣服和東西都拿來了 副總 東西我先幫你放這裡 對了	你起床了嗎 你的神仙教母 把你的衣服和東西都拿來了 副總 東西我先幫你放這裡 對了
023_001_000378_000001	你們快點拿去	你們快點拿去
023_001_000379_000001	怎麼可能有錯 你們趕快拿去投標 別搞到來不及	怎麼可能有錯 你們趕快拿去投標 別搞到來不及
023_001_000395_000001	陳曉春是在發神經喔 打這麼多通電話 喂 你要做什麼 你說保證金的金額寫錯了	陳曉春是在發神經喔 打這麼多通電話 喂 你要做什麼 你說保證金的金額寫錯了
023_001_000396_000001	副總 事情不好了 做什麼啦 副總 現在不只是四葉草 他們要被開除了 連你總經理的位置 也要泡湯了 你說什麼	副總 事情不好了 做什麼啦 副總 現在不只是四葉草 他們要被開除了 連你總經理的位置 也要泡湯了 你說什麼
023_001_000401_000001	我沒有 我是在看那台車 你會不會開車啊 駕照是用雞腿換的嗎	我沒有 我是在看那台車 你會不會開車啊 駕照是用雞腿換的嗎
023_001_000406_000001	我拜託你 不要拖走我們的車 你給我罰單就好 不要把車拖走 我們真的有很重要的事情 要去處理	我拜託你 不要拖走我們的車 你給我罰單就好 不要把車拖走 我們真的有很重要的事情 要去處理
023_001_000410_000001	是要怎麼當警察 副總 我拜託你別再說話了 警察先生 對不起 你不要拖走我們的車 拜託 馬德琳 有骨氣一點 要拖就讓他拖 我才沒在怕	是要怎麼當警察 副總 我拜託你別再說話了 警察先生 對不起 你不要拖走我們的車 拜託 馬德琳 有骨氣一點 要拖就讓他拖 我才沒在怕
023_001_000411_000001	現在問題是保證金的本票 還在車上 你 你沒有拿下來 沒有	現在問題是保證金的本票 還在車上 你 你沒有拿下來 沒有
