utterance_id	original_text	normalized_text
000_001_000001_000001	進輝 這次出門 結果是好是壞 是生是死 沒有人料想得到 你們如果還有顧慮 現在退出還來得及	進輝 這次出門 結果是好是壞 是生是死 沒有人料想得到 你們如果還有顧慮 現在退出還來得及
000_001_000004_000001	既然你們這麼信任我 那我這個做大哥的 絕對不會讓你們失望 我一定把你們平安帶回來	既然你們這麼信任我 那我這個做大哥的 絕對不會讓你們失望 我一定把你們平安帶回來
000_001_000022_000001	你的疤是刀刺傷的嗎	你的疤是刀刺傷的嗎
000_001_000024_000001	要不然再溫馴的貓 也會變成猛虎	要不然再溫馴的貓 也會變成猛虎
000_001_000027_000001	誰惹到你 誰就倒楣	誰惹到你 誰就倒楣
000_001_000029_000001	我要拿著錢 請醫生替我媽媽 動心臟手術 進輝 你呢 你的願望呢	我要拿著錢 請醫生替我媽媽 動心臟手術 進輝 你呢 你的願望呢
000_001_000033_000001	我們認識這麼久 你常常在說 你太太對你有多溫柔 都沒有介紹給我們認識一下	我們認識這麼久 你常常在說 你太太對你有多溫柔 都沒有介紹給我們認識一下
000_001_000035_000001	進輝 我們當兵的相片 你都帶在身上	進輝 我們當兵的相片 你都帶在身上
000_001_000040_000001	你太太到底長得多漂亮 也給我們看一下相片	你太太到底長得多漂亮 也給我們看一下相片
000_001_000047_000001	謝謝你的好意 不過我們急著要把貨送回去	謝謝你的好意 不過我們急著要把貨送回去
000_001_000052_000001	我剛剛看到鬼王的笑容 我覺得事情沒有那麼單純 在我們上船之前 還是小心一點 我們要注意看後面 是不是有人追來	我剛剛看到鬼王的笑容 我覺得事情沒有那麼單純 在我們上船之前 還是小心一點 我們要注意看後面 是不是有人追來
000_001_000057_000001	枉費你在江湖上 也是有頭有臉的大人物 竟然做出這種出爾反爾 背信忘義的事情 你就不怕傳出去會被人笑	枉費你在江湖上 也是有頭有臉的大人物 竟然做出這種出爾反爾 背信忘義的事情 你就不怕傳出去會被人笑
000_001_000093_000001	你忘了嗎 我們三個人是在帝君面前 發過誓的結拜兄弟 我絕對不會放棄任何一個人	你忘了嗎 我們三個人是在帝君面前 發過誓的結拜兄弟 我絕對不會放棄任何一個人
000_001_000125_000001	媽 醫生 你怎麼把我媽推出來了 錢我都準備好了 我拜託你 替我媽動手術 我拜託你救我媽 我拜託你 抱歉 你晚了一步 現在就算你有錢	媽 醫生 你怎麼把我媽推出來了 錢我都準備好了 我拜託你 替我媽動手術 我拜託你救我媽 我拜託你 抱歉 你晚了一步 現在就算你有錢
000_001_000139_000001	你是 我是來找人的 請問一下 你有看過這個人嗎	你是 我是來找人的 請問一下 你有看過這個人嗎
000_001_000141_000001	退租了 搬走了 那你有他的聯絡方式嗎	退租了 搬走了 那你有他的聯絡方式嗎
000_001_000143_000001	不然這樣啦 這是我的電話 麻煩你 他如果有跟你聯絡 還是你有看到他 我拜託你一定要通知我 好啦	不然這樣啦 這是我的電話 麻煩你 他如果有跟你聯絡 還是你有看到他 我拜託你一定要通知我 好啦
000_001_000145_000001	我一定把你們平安帶回來	我一定把你們平安帶回來
000_001_000153_000001	這裡有國際學校 大型的商場 還有教學醫院 食衣住行育樂 都可以兼顧 等於是一個新市鎮	這裡有國際學校 大型的商場 還有教學醫院 食衣住行育樂 都可以兼顧 等於是一個新市鎮
