utterance_id	original_text	normalized_text
003_001_000007_000001	子維 我還是覺得 你這樣突然把工作辭掉 跟朋友出國去做生意 太衝動了 萬一 不會啦 不會有什麼萬一	子維 我還是覺得 你這樣突然把工作辭掉 跟朋友出國去做生意 太衝動了 萬一 不會啦 不會有什麼萬一
003_001_000010_000001	你不要這樣想 我從來不曾埋怨過什麼	你不要這樣想 我從來不曾埋怨過什麼
003_001_000013_000001	不過進輝 你連出國要做什麼生意 都不肯跟我說清楚 你知道這樣我有多擔心	不過進輝 你連出國要做什麼生意 都不肯跟我說清楚 你知道這樣我有多擔心
003_001_000108_000001	進輝 你不要走 進輝 原來是在做夢	進輝 你不要走 進輝 原來是在做夢
003_001_000109_000001	我是在亂想什麼 進輝絕對不會有事 絕對不會有事 不會有事的	我是在亂想什麼 進輝絕對不會有事 絕對不會有事 不會有事的
003_001_000111_000001	子維不哭 不用怕 爸爸馬上就回來了 爸爸回來 會買很多玩具給你玩 乖 不怕	子維不哭 不用怕 爸爸馬上就回來了 爸爸回來 會買很多玩具給你玩 乖 不怕
003_001_000225_000001	我真的很佩服我自己 我怎麼可以生出一個 像你這麼貼心的兒子	我真的很佩服我自己 我怎麼可以生出一個 像你這麼貼心的兒子
003_001_000226_000001	我之前顧的那個病人 他出院了 有一些生活用品 像這個什麼 保溫杯 臉盆 他嫌晦氣不用都留給我 還有	我之前顧的那個病人 他出院了 有一些生活用品 像這個什麼 保溫杯 臉盆 他嫌晦氣不用都留給我 還有
003_001_000227_000001	他都沒吃完 你看這個香蕉還好好的	他都沒吃完 你看這個香蕉還好好的
003_001_000229_000001	東西好好的丟掉太浪費了 你看這個香蕉多漂亮 看起來也很好吃 來 而且那些生活用品 我整理一下 還可以給需要的人用 這樣不是很好嗎	東西好好的丟掉太浪費了 你看這個香蕉多漂亮 看起來也很好吃 來 而且那些生活用品 我整理一下 還可以給需要的人用 這樣不是很好嗎
003_001_000232_000001	我們住頂樓還有加蓋 好像樓中樓一樣 你看你住樓上 我跟曉春 冬雨住樓下 這樣不是很舒適嗎	我們住頂樓還有加蓋 好像樓中樓一樣 你看你住樓上 我跟曉春 冬雨住樓下 這樣不是很舒適嗎
003_001_000234_000001	媽 你真的很樂觀 我如果不樂觀一點 我怎麼有辦法一個人 把你們兄妹倆養到這麼大 對了 曉春他們公司	媽 你真的很樂觀 我如果不樂觀一點 我怎麼有辦法一個人 把你們兄妹倆養到這麼大 對了 曉春他們公司
003_001_000235_000001	是不是要蓋什麼美麗家園	是不是要蓋什麼美麗家園
003_001_000237_000001	他應該可以拿到員工價吧 而且那種預售屋 蓋好還要好幾年 剛好可以趁現在多存一點錢	他應該可以拿到員工價吧 而且那種預售屋 蓋好還要好幾年 剛好可以趁現在多存一點錢
003_001_000240_000001	可是你薪水都給我 自己沒留一些錢在身上 這樣好嗎	可是你薪水都給我 自己沒留一些錢在身上 這樣好嗎
003_001_000242_000001	拿去定存 跟會 以後你要跟冬雨結婚 就有錢可以用了	拿去定存 跟會 以後你要跟冬雨結婚 就有錢可以用了
003_001_000246_000001	等一下 剛才在門口 我就看到你的鞋子破一個洞 來 這個拿去買新鞋	等一下 剛才在門口 我就看到你的鞋子破一個洞 來 這個拿去買新鞋
003_001_000248_000001	傻孩子 來 你在外面做外送 每天四處奔波 鞋子要穿比較好 比較耐用的 你才不會腳痛 這三千塊拿去啦 去買新鞋	傻孩子 來 你在外面做外送 每天四處奔波 鞋子要穿比較好 比較耐用的 你才不會腳痛 這三千塊拿去啦 去買新鞋
003_001_000425_000001	你不要再丟下我一個人了 你到底在哪裡 你快出來	你不要再丟下我一個人了 你到底在哪裡 你快出來
003_001_000427_000001	你爸爸 他怎麼可能拋棄我	你爸爸 他怎麼可能拋棄我
